dataset_index,session_id,measurement_id,sample_id,status,valid_fraction,repair_fraction,raw_path,repaired_path,mask_path
23,zro2_120_formal,24,24,PASS,1.0,0.005,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_024.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_024.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_024.npz
24,zro2_120_formal,25,25,PASS,1.0,0.000703125,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_025.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_025.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_025.npz
25,zro2_120_formal,26,26,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_026.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_026.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_026.npz
26,zro2_120_formal,27,27,PASS,1.0,0.0025390625,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_027.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_027.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_027.npz
27,zro2_120_formal,28,28,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_028.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_028.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_028.npz
28,zro2_120_formal,29,29,PASS,1.0,0.0002734375,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_029.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_029.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_029.npz
29,zro2_120_formal,30,30,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_030.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_030.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_030.npz
30,zro2_120_formal,31,31,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_031.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_031.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_031.npz
31,zro2_120_formal,32,32,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_032.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_032.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_032.npz
32,zro2_120_formal,33,33,PASS,1.0,0.0001171875,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_033.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_033.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_033.npz
33,zro2_120_formal,34,34,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_034.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_034.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_034.npz
34,zro2_120_formal,35,35,PASS,1.0,0.0026953125,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_035.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_035.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_035.npz
35,zro2_120_formal,36,36,PASS,1.0,0.004375,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_036.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_036.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_036.npz
36,zro2_120_formal,37,37,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_037.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_037.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_037.npz
37,zro2_120_formal,38,38,PASS,1.0,0.0271484375,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_038.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_038.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_038.npz
38,zro2_120_formal,39,39,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_039.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_039.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_039.npz
39,zro2_120_formal,40,40,PASS,1.0,0.0048046875,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_040.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_040.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_040.npz
40,zro2_120_formal,41,41,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_041.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_041.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_041.npz
41,zro2_120_formal,42,42,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_042.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_042.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_042.npz
42,zro2_120_formal,43,43,PASS,1.0,0.001484375,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_043.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_043.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_043.npz
43,zro2_120_formal,44,44,PASS,1.0,0.006484375,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_044.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_044.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_044.npz
44,zro2_120_formal,45,45,PASS,1.0,0.0122265625,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_045.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_045.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_045.npz
45,zro2_120_formal,46,46,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_046.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_046.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_046.npz
46,zro2_120_formal,47,47,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_047.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_047.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_047.npz
47,zro2_120_formal,48,48,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_048.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_048.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_048.npz
48,zro2_120_formal,49,49,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_049.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_049.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_049.npz
49,zro2_120_formal,50,50,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_050.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_050.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_050.npz
50,zro2_120_formal,51,51,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_051.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_051.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_051.npz
51,zro2_120_formal,52,52,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_052.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_052.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_052.npz
52,zro2_120_formal,53,53,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_053.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_053.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_053.npz
53,zro2_120_formal,54,54,PASS,1.0,0.00015625,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_054.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_054.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_054.npz
54,zro2_120_formal,55,55,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_055.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_055.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_055.npz
55,zro2_120_formal,56,56,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_056.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_056.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_056.npz
56,zro2_120_formal,57,57,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_057.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_057.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_057.npz
57,zro2_120_formal,58,58,PASS,1.0,0.008828125,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_058.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_058.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_058.npz
58,zro2_120_formal,59,59,PASS,1.0,0.0171484375,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_059.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_059.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_059.npz
59,zro2_120_formal,60,60,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_060.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_060.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_060.npz
60,zro2_120_formal,61,61,PASS,1.0,0.0028125,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_061.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_061.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_061.npz
61,zro2_120_formal,62,62,PASS,1.0,0.0026953125,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_062.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_062.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_062.npz
62,zro2_120_formal,63,63,PASS,1.0,0.0005078125,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_063.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_063.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_063.npz
63,zro2_120_formal,64,64,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_064.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_064.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_064.npz
64,zro2_120_formal,65,65,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_065.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_065.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_065.npz
65,zro2_120_formal,66,66,PASS,1.0,0.0019140625,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_066.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_066.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_066.npz
66,zro2_120_formal,67,67,PASS,1.0,0.001171875,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_067.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_067.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_067.npz
67,zro2_120_formal,68,68,PASS,1.0,0.003359375,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_068.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_068.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_068.npz
68,zro2_120_formal,69,69,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_069.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_069.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_069.npz
69,zro2_120_formal,70,70,PASS,1.0,0.0051171875,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_070.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_070.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_070.npz
70,zro2_120_formal,71,71,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_071.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_071.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_071.npz
71,zro2_120_formal,72,72,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_072.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_072.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_072.npz
72,zro2_120_formal,73,73,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_073.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_073.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_073.npz
73,zro2_120_formal,74,74,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_074.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_074.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_074.npz
74,zro2_120_formal,75,75,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_075.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_075.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_075.npz
