dataset_index,session_role,cohort,target_valid
81,formal,MAIN180,True
82,formal,MAIN180,True
83,formal,MAIN180,True
84,formal,MAIN180,True
85,formal,MAIN180,True
86,formal,MAIN180,True
87,formal,MAIN180,True
88,formal,MAIN180,True
89,formal,MAIN180,True
90,formal,MAIN180,True
91,formal,MAIN180,True
92,formal,MAIN180,True
93,formal,MAIN180,True
94,formal,MAIN180,True
95,formal,MAIN180,True
96,formal,MAIN180,True
97,formal,MAIN180,True
98,formal,MAIN180,True
99,formal,MAIN180,True
100,formal,MAIN180,True
101,formal,MAIN180,True
102,formal,MAIN180,True
103,formal,MAIN180,True
104,formal,MAIN180,True
105,formal,MAIN180,True
106,formal,MAIN180,True
107,formal,MAIN180,True
108,formal,MAIN180,True
109,formal,MAIN180,True
110,formal,MAIN180,True
111,formal,MAIN180,True
112,formal,MAIN180,True
113,formal,MAIN180,True
114,formal,MAIN180,True
115,formal,MAIN180,True
116,formal,MAIN180,True
117,formal,MAIN180,True
118,formal,MAIN180,True
119,formal,MAIN180,True
120,pass_supplement,SUPP20,True
121,pass_supplement,SUPP20,True
122,pass_supplement,SUPP20,True
123,pass_supplement,SUPP20,True
124,pass_supplement,SUPP20,True
125,pass_supplement,SUPP20,True
126,pass_supplement,SUPP20,True
127,pass_supplement,SUPP20,True
128,pass_supplement,SUPP20,True
129,pass_supplement,SUPP20,True
130,pass_supplement,SUPP20,True
131,pass_supplement,SUPP20,True
132,pass_supplement,SUPP20,True
133,pass_supplement,SUPP20,True
134,pass_supplement,SUPP20,True
135,pass_supplement,SUPP20,True
136,pass_supplement,SUPP20,True
137,pass_supplement,SUPP20,True
138,pass_supplement,SUPP20,True
139,pass_supplement,SUPP20,True
140,pass_main,MAIN180,True
141,pass_main,MAIN180,True
142,pass_main,MAIN180,True
143,pass_main,MAIN180,True
144,pass_main,MAIN180,True
145,pass_main,MAIN180,True
146,pass_main,MAIN180,True
147,pass_main,MAIN180,True
148,pass_main,MAIN180,True
149,pass_main,MAIN180,True
150,pass_main,MAIN180,True
151,pass_main,MAIN180,True
152,pass_main,MAIN180,True
153,pass_main,MAIN180,True
154,pass_main,MAIN180,True
155,pass_main,MAIN180,True
156,pass_main,MAIN180,True
157,pass_main,MAIN180,True
158,pass_main,MAIN180,True
159,pass_main,MAIN180,True
160,pass_main,MAIN180,True
161,pass_main,MAIN180,True
162,pass_main,MAIN180,True
163,pass_main,MAIN180,True
164,pass_main,MAIN180,True
165,pass_main,MAIN180,True
166,pass_main,MAIN180,True
167,pass_main,MAIN180,True
168,pass_main,MAIN180,True
169,pass_main,MAIN180,True
170,pass_main,MAIN180,True
171,pass_main,MAIN180,True
172,pass_main,MAIN180,True
173,pass_main,MAIN180,True
174,pass_main,MAIN180,True
175,pass_main,MAIN180,True
176,pass_main,MAIN180,True
177,pass_main,MAIN180,True
178,pass_main,MAIN180,True
179,pass_main,MAIN180,True
180,pass_main,MAIN180,True
181,pass_main,MAIN180,True
182,pass_main,MAIN180,True
183,pass_main,MAIN180,True
184,pass_main,MAIN180,True
185,pass_main,MAIN180,True
186,pass_main,MAIN180,True
187,pass_main,MAIN180,True
188,pass_main,MAIN180,True
189,pass_main,MAIN180,True
190,pass_main,MAIN180,True
191,pass_main,MAIN180,True
192,pass_main,MAIN180,True
193,pass_main,MAIN180,True
194,pass_main,MAIN180,True
195,pass_main,MAIN180,True
196,pass_main,MAIN180,True
197,pass_main,MAIN180,True
198,pass_main,MAIN180,True
199,pass_main,MAIN180,True
