anon_code,dataset_index,session_id,sample_id,session_role,processing_order,A_consensus,spectral_rank_min,rank_Sq,rank_loco_total_pc1,rank_D_morph_k10,rank_pit_density,Sq_um,D_morph_k10,D_proc_phys_k5,loco_total_pc1_deg,repair_fraction,selection_reason,repair_present
AUDIT-11,98,zro2_120_formal,99,formal,99,12.0,12.0,145.0,113.0,5.0,6.0,0.4991230139805998,22.910885059727484,1.0591537711562857,0.03449641361473773,0.0,morph_isolation_top10,False
AUDIT-12,175,zro2_60_pass,36,pass_main,36,13.0,13.0,92.0,144.5,12.0,11.0,0.7598801944158817,13.88646547019037,0.07444380155473627,0.021118815876100715,0.0,proc_near_morph_far_top10,False
AUDIT-13,149,zro2_60_pass,10,pass_main,10,15.0,15.0,22.0,29.5,7.0,9.0,2.662279172226364,18.989167991843388,0.14801079477595924,0.3956517757181916,0.004609375,morph_isolation_top10|proc_near_morph_far_top10,True
AUDIT-14,167,zro2_60_pass,28,pass_main,28,15.0,2.0,15.0,11.5,21.0,153.0,3.737893220079373,7.728950008404136,0.07490877746136317,3.005845973997325,0.0,proc_near_morph_far_top10,False
AUDIT-15,179,zro2_60_pass,40,pass_main,40,18.0,18.0,96.0,59.5,11.0,8.0,0.7399276332930084,14.058637855547158,0.17053447345775194,0.10467703107516724,0.0,proc_near_morph_far_top10,False
AUDIT-16,23,zro2_120_formal,24,formal,24,19.0,28.0,6.0,9.0,19.0,153.0,6.829685811027613,9.788941877021806,0.3642433606824857,5.274674297422882,0.005,loco_DCT_16_32_top5|loco_total_pc1_top10|sq_top10,True
AUDIT-17,82,zro2_120_formal,83,formal,83,20.0,16.0,5.0,21.0,20.0,153.0,7.107023639977323,8.519415019809582,1.087313649094001,0.8270310881096177,0.02703125,sq_top10,True
AUDIT-18,178,zro2_60_pass,39,pass_main,39,21.0,21.0,118.0,59.5,13.0,10.0,0.6114627492972692,13.697545364666876,0.1705344734577519,0.10467703107516724,0.0,proc_near_morph_far_top10,False
AUDIT-19,154,zro2_60_pass,15,pass_main,15,22.0,22.0,8.0,3.5,22.0,153.0,6.446011630432332,6.944401339543914,0.1534810261119767,12.951873194939845,0.0033203125,loco_total_pc1_top10|sq_top10,True
AUDIT-20,44,zro2_120_formal,45,formal,45,25.0,26.0,9.0,8.0,25.0,153.0,5.759937507256592,6.369032348174929,0.535953326452168,7.697548926732254,0.0122265625,loco_DCT_32_64_top5|loco_total_pc1_top10|sq_top10,True
AUDIT-21,155,zro2_60_pass,16,pass_main,16,28.0,23.0,28.0,3.5,58.0,153.0,2.361630752316216,3.0709726857130306,0.15348102611197678,12.951873194939845,0.000625,loco_total_pc1_top10,True
AUDIT-22,43,zro2_120_formal,44,formal,44,28.0,42.0,10.0,15.0,28.0,153.0,4.802227944160921,5.2652642658206315,0.5894344947788261,2.1425362061980016,0.006484375,loco_DCT_16_32_top5|sq_top10,True
AUDIT-23,78,zro2_120_formal,79,formal,79,30.0,12.0,23.0,44.0,30.0,153.0,2.5381418247553262,5.00091964415606,0.40555741932228195,0.1602983272356915,0.0,loco_DCT_8_16_top5,False
AUDIT-24,152,zro2_60_pass,13,pass_main,13,46.0,8.0,94.0,6.5,97.0,46.0,0.74713813784861,1.7316503496919573,0.1534810261119767,12.510204094686959,0.0,loco_DCT_64_inf_top5|loco_total_pc1_top10,False
AUDIT-25,183,zro2_60_pass,44,pass_main,44,55.5,10.0,48.0,55.5,87.0,153.0,1.4687941425369615,2.145430892764945,0.09685019365518503,0.13109310399395177,0.0,loco_DCT_8_16_top5,False
AUDIT-26,111,zro2_120_formal,112,formal,112,56.0,9.0,39.0,180.0,56.0,153.0,1.7888994111767211,3.149324901418372,0.5229497367240353,0.008523618108502244,0.0,loco_DCT_8_16_top5,False
AUDIT-27,48,zro2_120_formal,49,formal,49,140.0,83.0,197.0,156.0,140.0,41.5,0.2192179934995302,1.139274864692414,0.30924141344358697,0.017152173076317462,0.0,sentinel,False
AUDIT-28,49,zro2_120_formal,50,formal,50,178.0,96.0,196.0,178.0,195.0,73.0,0.219865856744249,0.6841458708297491,0.30924141344358697,0.008674534283856651,0.0,sentinel,False
