session_id,measurement_id,sample_id,roi_within_measurement,shared_height_source_id,q01,q05,q50,q95,q99,selected_valid_pixels,selected_valid_fraction,q50_minus_q05,negative_tail_amplitude,robust_range_q99_q01,iqr_proxy_q95_q05,median_absolute_deviation,edge_energy,candidate_modified_fraction,pulse_width,frequency,hatch,pass,velocity,calibration_rank_score,selection_reason
zro2_120_formal,40,40,single,zro2_120_formal:m040,4.895,6.084,62.196,67.137,67.641,760384,1.0,56.111999999999995,57.301,62.74600000000001,61.053,4.9950000000000045,0.051000000000000156,0.39301326698089384,43800,100,0.006,5,5,0.7411764705882353,within_session_high_snr
zro2_120_formal,41,41,single,zro2_120_formal:m041,2.8,4.597,59.868,64.133,64.675,760384,1.0,55.271,57.068000000000005,61.875,59.535999999999994,4.333999999999996,0.04899999999999949,0.40878424585472606,43800,100,0.008,5,3,0.715966386554622,within_session_high_snr
zro2_120_formal,44,44,single,zro2_120_formal:m044,3.497,4.668,56.028,60.915,61.395,760384,1.0,51.36,52.531,57.898,56.247,4.8260000000000005,0.052999999999999936,0.3429543493813652,43800,200,0.006,3,5,0.7411764705882353,within_session_high_snr
zro2_120_formal,45,45,single,zro2_120_formal:m045,2.654,3.753,54.4,59.199,59.699,760384,1.0,50.647,51.745999999999995,57.045,55.446,4.721000000000004,0.05300000000000438,0.35681445164548437,43800,200,0.006,3,7,0.7428571428571429,within_session_high_snr
zro2_120_formal,59,59,single,zro2_120_formal:m059,1.76,3.778,55.971,60.451,60.954,760384,1.0,52.193,54.211,59.194,56.673,4.538000000000004,0.046999999999997044,0.4211240636310075,58400,50,0.006,4,3,0.7025210084033614,within_session_high_snr
zro2_120_formal,62,62,single,zro2_120_formal:m062,2.668,5.336,64.098,68.915,69.417,760384,1.0,58.762,61.43,66.749,63.57900000000001,4.912999999999997,0.045999999999999375,0.41183270558033835,58400,100,0.004,5,9,0.734453781512605,within_session_high_snr
zro2_120_formal,63,63,single,zro2_120_formal:m063,3.764,5.272,63.166,67.509,67.981,760384,1.0,57.894,59.401999999999994,64.217,62.237,4.388000000000005,0.05200000000000671,0.41796250315629996,58400,100,0.006,4,5,0.8033613445378152,new_process_level_coverage
zro2_120_formal,64,64,single,zro2_120_formal:m064,3.303,4.555,40.467,44.543,44.827,760384,1.0,35.912,37.164,41.524,39.988,4.116,0.05600000000000449,0.41904222077266223,58400,100,0.008,2,5,0.6672268907563026,within_session_high_snr
zro2_120_formal,67,67,single,zro2_120_formal:m067,4.854,6.633,64.759,69.415,69.848,760384,1.0,58.126,59.905,64.994,62.782000000000004,4.766000000000005,0.0519999999999996,0.4033935485228516,58400,200,0.002,3,5,0.8067226890756303,within_session_high_snr
zro2_120_formal,68,68,single,zro2_120_formal:m068,2.441,4.598,65.745,70.209,70.706,760384,1.0,61.147000000000006,63.304,68.265,65.611,4.5390000000000015,0.05200000000000671,0.42648845846309236,58400,200,0.002,5,11,0.8285714285714286,within_session_high_snr
zro2_120_formal,70,70,single,zro2_120_formal:m070,1.901,3.338,62.821,67.18184999999998,67.66017000000004,760384,1.0,59.483,60.919999999999995,65.75917000000004,63.84384999999998,4.462000000000003,0.04899999999999949,0.4037473171450215,58400,200,0.004,4,9,0.7915966386554623,within_session_high_snr
zro2_120_formal,71,71,single,zro2_120_formal:m071,8.426,11.907,31.747,35.777,36.351,760384,1.0,19.84,23.320999999999998,27.924999999999997,23.87,3.7680000000000007,0.06299999999999883,0.11429225233566198,58400,200,0.01,2,3,0.6487394957983194,within_session_high_snr
zro2_120_formal,72,72,single,zro2_120_formal:m072,3.042,4.139,51.082,55.575,56.06,760384,1.0,46.943,48.04,53.018,51.436,4.563000000000002,0.04899999999999949,0.4199378208904974,58400,200,0.01,5,3,0.7142857142857144,within_session_high_snr
zro2_120_formal,73,73,single,zro2_120_formal:m073,3.855,5.873,33.086,37.665,38.261,760384,1.0,27.212999999999997,29.230999999999998,34.406000000000006,31.791999999999998,4.683,0.03500000000000014,0.39655884395252927,87300,2,0.002,5,5,0.31596638655462184,new_process_level_coverage
zro2_120_formal,88,88,single,zro2_120_formal:m088,4.721830000000001,6.405,23.997,28.617,29.166,760384,1.0,17.592,19.27517,24.44417,22.212,4.469999999999999,0.05600000000000094,0.006048259826613922,87300,100,0.008,1,11,0.6302521008403362,within_session_high_snr
zro2_120_formal,96,96,single,zro2_120_formal:m096,1.616,2.473,45.623,51.038,51.46,760384,1.0,43.15,44.007,49.844,48.565,5.310000000000002,0.045000000000001705,0.3800698068344415,87300,200,0.01,5,7,0.6470588235294118,within_session_high_snr
zro2_120_formal,108,108,single,zro2_120_formal:m108,3.702,7.42,26.209,30.569,31.185,760384,1.0,18.789,22.506999999999998,27.482999999999997,23.149,4.219999999999999,0.04200000000000159,0.05028117372275061,116200,10,0.008,3,7,0.48235294117647065,new_process_level_coverage
zro2_120_formal,112,112,single,zro2_120_formal:m112,5.939,8.399,29.136,33.278,33.69,760384,1.0,20.737000000000002,23.197,27.750999999999998,24.878999999999998,4.093,0.054000000000002046,0.18084678267822574,116200,50,0.01,2,11,0.6739495798319328,within_session_high_snr
zro2_120_formal,117,117,single,zro2_120_formal:m117,9.283,11.007,15.428,19.486,20.074,760384,1.0,4.421000000000001,6.145000000000001,10.791000000000002,8.479000000000001,1.5300000000000011,0.058999999999999275,0.00506323120949415,116200,100,0.01,1,9,0.5949579831932773,new_process_level_coverage
zro2_120_formal,120,120,single,zro2_120_formal:m120,4.71,6.106,54.684,59.417,59.957,760384,1.0,48.577999999999996,49.974,55.247,53.311,4.736000000000004,0.04200000000000159,0.40094873116741014,116200,200,0.006,5,3,0.6941176470588235,within_session_high_snr
zro2_60_pass,2,3,slot_1,zro2_60_pass:m002,11.076,13.96,59.923,63.812,64.309,1528320,1.0,45.963,48.847,53.233,49.852,3.0009999999999977,0.11299999999999955,0.21649850816582913,29400,40,0.004,3,20,0.6576271186440678,within_session_high_snr
zro2_60_pass,7,14,slot_1,zro2_60_pass:m007,34.653,42.389,50.274,53.702,54.283,1528320,1.0,7.884999999999998,15.621000000000002,19.630000000000003,11.312999999999995,1.8249999999999957,0.12400000000000233,0.04864426298157454,29400,20,0.004,1,25,0.4949152542372882,new_process_level_coverage
zro2_60_pass,8,16,slot_1,zro2_60_pass:m008,3.143,7.347,45.367,48.815,49.502,1528320,1.0,38.019999999999996,42.224,46.359,41.467999999999996,2.3290000000000006,0.1110000000000042,0.2090432631909548,29400,20,0.004,3,25,0.6440677966101696,within_session_high_snr
zro2_60_pass,12,24,slot_1,zro2_60_pass:m012,9.925,13.538,39.137,42.055,42.497,1528320,1.0,25.599,29.212,32.572,28.517,2.261000000000003,0.1180000000000021,0.21303522822445561,36140,10,0.008,3,5,0.664406779661017,new_process_level_coverage
zro2_60_pass,13,25,slot_1,zro2_60_pass:m013,4.001,9.717,23.535,28.255,29.321,1528320,1.0,13.818,19.534,25.32,18.537999999999997,2.0249999999999986,0.13100000000000023,0.18061269891122278,87300,10,0.01,3,20,0.6576271186440679,new_process_level_coverage
zro2_60_pass,19,38,slot_1,zro2_60_pass:m019,3.412,7.896,31.388,35.191,35.924,1528320,1.0,23.492,27.976000000000003,32.512,27.295,1.9029999999999951,0.1110000000000042,0.21733930067001675,36140,20,0.006,2,15,0.6305084745762712,within_session_high_snr
zro2_60_pass,20,40,slot_1,zro2_60_pass:m020,4.091,7.285949999999997,44.479,48.161,48.705,1528320,1.0,37.19305,40.388,44.614,40.87505,2.5700000000000003,0.11000000000000032,0.2249450376884422,36140,20,0.006,4,15,0.6983050847457627,new_process_level_coverage
zro2_60_pass,21,42,slot_1,zro2_60_pass:m021,3.326,5.42,42.522,46.699,47.329,1528320,1.0,37.102,39.196,44.003,41.278999999999996,2.808,0.12000000000000455,0.21105527638190955,43800,40,0.01,4,15,0.8135593220338984,new_process_level_coverage
zro2_60_pass,22,44,slot_1,zro2_60_pass:m022,4.895,8.13,31.2,35.37,35.907,1528320,1.0,23.07,26.305,31.011999999999997,27.239999999999995,2.6220000000000034,0.13799999999999812,0.20539808417085428,43800,40,0.01,2,15,0.7932203389830508,within_session_high_snr
zro2_60_pass,23,46,slot_1,zro2_60_pass:m023,9.655,19.382,28.663,32.789,33.401,1528320,1.0,9.280999999999999,19.008000000000003,23.746000000000002,13.407,3.152000000000001,0.13000000000000256,0.0267875837520938,58400,2,0.004,4,10,0.6576271186440678,within_session_high_snr
zro2_60_pass,24,48,slot_1,zro2_60_pass:m024,7.697,14.529,19.716,26.527,27.144,1528320,1.0,5.187000000000001,12.019000000000002,19.447,11.998000000000001,3.4559999999999995,0.129999999999999,0.002962076005025126,58400,2,0.004,2,10,0.5830508474576271,new_process_level_coverage
zro2_60_pass,25,49,slot_1,zro2_60_pass:m025,5.14,13.745949999999997,33.352,37.343,37.853,1528320,1.0,19.60605,28.211999999999996,32.713,23.597050000000007,2.865000000000002,0.12399999999999523,0.16104611599664992,43800,2,0.002,4,10,0.7389830508474576,new_process_level_coverage
zro2_60_pass,26,51,slot_1,zro2_60_pass:m026,14.167,22.644,33.487,38.482,39.386,1528320,1.0,10.843000000000004,19.32,25.219,15.838000000000001,3.189,0.11999999999999744,0.03017300041876047,43800,2,0.002,2,10,0.6372881355932204,within_session_high_snr
zro2_60_pass,27,53,slot_1,zro2_60_pass:m027,4.586,12.035,23.829,27.414,27.906,1528320,1.0,11.794,19.243000000000002,23.32,15.379000000000001,2.556000000000001,0.12399999999999878,0.053853904941373536,87300,5,0.008,4,10,0.6847457627118644,new_process_level_coverage
zro2_60_pass,29,57,slot_1,zro2_60_pass:m029,3.691,11.315,28.393,32.422,33.123,1528320,1.0,17.078000000000003,24.702,29.432,21.107,2.7059999999999995,0.11400000000000077,0.13129383898659966,36140,5,0.006,4,25,0.6779661016949152,within_session_high_snr
zro2_20_supplement,2,3,slot_1,zro2_20_supplement:m002,8.36,13.414,33.44,38.452,38.98,1528320,1.0,20.025999999999996,25.08,30.619999999999997,25.037999999999997,2.9399999999999977,0.117999999999995,0.20084798994974876,87300,10,0.01,5,20,0.4842105263157895,new_process_level_coverage
zro2_20_supplement,3,5,slot_1,zro2_20_supplement:m003,6.636,8.604,54.233,59.878,60.451,1528320,1.0,45.629,47.596999999999994,53.815,51.274,3.7490000000000023,0.11400000000000432,0.21294755025125628,43800,40,0.006,5,25,0.7157894736842105,new_process_level_coverage
zro2_20_supplement,4,7,slot_1,zro2_20_supplement:m004,6.019,8.105,56.489,62.05,62.646,1528320,1.0,48.384,50.47,56.627,53.94499999999999,3.446000000000005,0.10900000000000176,0.22057095372696817,29400,20,0.004,5,25,0.6526315789473685,new_process_level_coverage
zro2_20_supplement,5,9,slot_1,zro2_20_supplement:m005,4.54,6.988,48.125,53.71,54.371,1528320,1.0,41.137,43.585,49.831,46.722,3.432000000000002,0.10999999999999943,0.22079407453936348,36140,20,0.006,5,15,0.6526315789473685,new_process_level_coverage
zro2_20_supplement,6,11,slot_1,zro2_20_supplement:m006,10.173,16.099,28.554,34.469,35.055,1528320,1.0,12.454999999999998,18.381,24.881999999999998,18.37,3.968,0.11399999999999899,0.01379161432160804,87300,5,0.008,5,10,0.4421052631578948,new_process_level_coverage
zro2_20_supplement,8,15,slot_1,zro2_20_supplement:m008,3.155,4.666,43.76,49.86,50.369,1528320,1.0,39.093999999999994,40.605,47.214,45.194,4.097000000000001,0.10900000000000176,0.20571608040201006,87300,20,0.002,5,15,0.6526315789473685,within_session_high_snr
zro2_20_supplement,10,19,slot_1,zro2_20_supplement:m010,9.187,11.263,38.926,44.869,53.290430000000164,1528320,1.0,27.663000000000004,29.739000000000004,44.103430000000166,33.606,3.8160000000000025,0.11700000000000443,0.2050591499162479,58400,2,0.002,5,5,0.7157894736842105,within_session_high_snr
zro2_20_supplement,10,20,slot_2,zro2_20_supplement:m010,4.559,5.897,37.911,43.498,44.116,1528320,1.0,32.014,33.352000000000004,39.557,37.601,3.6340000000000003,0.08600000000000563,0.21298222885259632,58400,2,0.002,6,5,0.5368421052631579,new_process_level_coverage
