model_id,variant,outer_fold,session_id,risk
GAM,M_UDhat,3,zro2_60_pass,0.43810010690324025
GAM,M_UDhat,4,zro2_120_formal,0.5987247493728
GAM,M_UDhat,4,zro2_60_pass,0.9068769552121839
Ridge,C1,0,zro2_120_formal,1.8749077900468214
Ridge,C1,0,zro2_60_pass,0.9662314389377888
Ridge,C1,1,zro2_120_formal,0.8457137356899864
Ridge,C1,1,zro2_60_pass,1.4941576624627668
Ridge,C1,2,zro2_120_formal,0.944643387238017
Ridge,C1,2,zro2_60_pass,0.45457346702986284
Ridge,C1,3,zro2_120_formal,0.5913936356200504
Ridge,C1,3,zro2_60_pass,0.7267313669280483
Ridge,C1,4,zro2_120_formal,0.7070040779551634
Ridge,C1,4,zro2_60_pass,1.1708817951002184
Ridge,C2,0,zro2_120_formal,1.7931578938618302
Ridge,C2,0,zro2_60_pass,0.8973266142547923
Ridge,C2,1,zro2_120_formal,0.9054359249282391
Ridge,C2,1,zro2_60_pass,1.3381542272623186
Ridge,C2,2,zro2_120_formal,0.9495366566084179
Ridge,C2,2,zro2_60_pass,0.3408236492027871
Ridge,C2,3,zro2_120_formal,0.48024185109190287
Ridge,C2,3,zro2_60_pass,0.5028142179482107
Ridge,C2,4,zro2_120_formal,0.6713581395584705
Ridge,C2,4,zro2_60_pass,0.8901687369722596
Ridge,C3,0,zro2_120_formal,1.5821894838909252
Ridge,C3,0,zro2_60_pass,0.9008774452411537
Ridge,C3,1,zro2_120_formal,0.8604290318980499
Ridge,C3,1,zro2_60_pass,1.3622075483512763
Ridge,C3,2,zro2_120_formal,0.7925573653470379
Ridge,C3,2,zro2_60_pass,0.2854995172404743
Ridge,C3,3,zro2_120_formal,0.3957399756921107
Ridge,C3,3,zro2_60_pass,0.42785006556432575
Ridge,C3,4,zro2_120_formal,0.5427747443234257
Ridge,C3,4,zro2_60_pass,0.998325218324163
Ridge,C4,0,zro2_120_formal,1.5187388441623022
Ridge,C4,0,zro2_60_pass,0.7893090634324063
Ridge,C4,1,zro2_120_formal,0.8694613361197349
Ridge,C4,1,zro2_60_pass,1.1604877531815763
Ridge,C4,2,zro2_120_formal,0.7547625614938794
Ridge,C4,2,zro2_60_pass,0.281262838584305
Ridge,C4,3,zro2_120_formal,0.39782866584731774
Ridge,C4,3,zro2_60_pass,0.39046229499750545
Ridge,C4,4,zro2_120_formal,0.5700828782279366
Ridge,C4,4,zro2_60_pass,0.8906104467755984
Ridge,M_D,0,zro2_120_formal,1.703834650282984
Ridge,M_D,0,zro2_60_pass,1.038638228947113
Ridge,M_D,1,zro2_120_formal,0.8539576258682672
Ridge,M_D,1,zro2_60_pass,1.4673547916671128
Ridge,M_D,2,zro2_120_formal,0.7384488670665248
Ridge,M_D,2,zro2_60_pass,0.5351861099756111
Ridge,M_D,3,zro2_120_formal,0.5489927390192102
Ridge,M_D,3,zro2_60_pass,0.6368965922573344
Ridge,M_D,4,zro2_120_formal,0.7558629986290759
Ridge,M_D,4,zro2_60_pass,1.4810416657832841
Ridge,M_Dh,0,zro2_120_formal,1.5454087165807757
Ridge,M_Dh,0,zro2_60_pass,0.8329655332700671
Ridge,M_Dh,1,zro2_120_formal,0.8690800356711086
Ridge,M_Dh,1,zro2_60_pass,1.2624468842517027
Ridge,M_Dh,2,zro2_120_formal,0.7159360707924646
Ridge,M_Dh,2,zro2_60_pass,0.30897577018017097
Ridge,M_Dh,3,zro2_120_formal,0.38099400761423435
Ridge,M_Dh,3,zro2_60_pass,0.43186611984008244
Ridge,M_Dh,4,zro2_120_formal,0.5931430003138288
Ridge,M_Dh,4,zro2_60_pass,0.9785892677623993
Ridge,M_U,0,zro2_120_formal,1.4915885237348712
Ridge,M_U,0,zro2_60_pass,0.8273910650266915
Ridge,M_U,1,zro2_120_formal,0.8402732435366983
Ridge,M_U,1,zro2_60_pass,1.0426803340516015
Ridge,M_U,2,zro2_120_formal,0.7282015483310118
Ridge,M_U,2,zro2_60_pass,0.2738115800353555
Ridge,M_U,3,zro2_120_formal,0.3908448704716152
Ridge,M_U,3,zro2_60_pass,0.4326307480527644
Ridge,M_U,4,zro2_120_formal,0.5878763483053678
Ridge,M_U,4,zro2_60_pass,0.8471974272859283
Ridge,M_UD,0,zro2_120_formal,1.4807770788072245
Ridge,M_UD,0,zro2_60_pass,0.8404717007741819
Ridge,M_UD,1,zro2_120_formal,0.8333288918386125
Ridge,M_UD,1,zro2_60_pass,1.0634785473695112
Ridge,M_UD,2,zro2_120_formal,0.6955397994405795
Ridge,M_UD,2,zro2_60_pass,0.2819618359457898
Ridge,M_UD,3,zro2_120_formal,0.39633310055039284
Ridge,M_UD,3,zro2_60_pass,0.46289643428602845
Ridge,M_UD,4,zro2_120_formal,0.5911154664115279
Ridge,M_UD,4,zro2_60_pass,0.8917580996782132
Ridge,M_UDhat,0,zro2_120_formal,1.4876231108040556
Ridge,M_UDhat,0,zro2_60_pass,0.8265278120303478
Ridge,M_UDhat,1,zro2_120_formal,0.8443201929921741
Ridge,M_UDhat,1,zro2_60_pass,1.0437751467979839
Ridge,M_UDhat,2,zro2_120_formal,0.7242835795457978
Ridge,M_UDhat,2,zro2_60_pass,0.2750471890527002
Ridge,M_UDhat,3,zro2_120_formal,0.3939997143249485
Ridge,M_UDhat,3,zro2_60_pass,0.43437107443998874
Ridge,M_UDhat,4,zro2_120_formal,0.5887497872675086
Ridge,M_UDhat,4,zro2_60_pass,0.8626005462826337
